         Age_diff (years)               Probability                 HPD_68.2%                 HPD_95.4% 
                      960                0.00788708                         0                0.00788708 
                      965                 0.0069882                         0                 0.0069882 
                      970                0.00780873                         0                0.00780873 
                      975                 0.0102089                 0.0102089                 0.0102089 
                      980                 0.0105504                 0.0105504                 0.0105504 
                      985                0.00917566                0.00917566                0.00917566 
                      990                 0.0113436                 0.0113436                 0.0113436 
                      995                 0.0130156                 0.0130156                 0.0130156 
                     1000                 0.0125308                 0.0125308                 0.0125308 
                     1005                 0.0139936                 0.0139936                 0.0139936 
                     1010                 0.0164003                 0.0164003                 0.0164003 
                     1015                 0.0148776                 0.0148776                 0.0148776 
                     1020                 0.0131804                 0.0131804                 0.0131804 
                     1025                 0.0125229                 0.0125229                 0.0125229 
                     1030                 0.0102727                 0.0102727                 0.0102727 
                     1035                0.00916822                0.00916822                0.00916822 
                     1040                0.00925944                0.00925944                0.00925944 
                     1045                0.00880333                         0                0.00880333 
                     1050                0.00814486                         0                0.00814486 
                     1055                0.00944111                0.00944111                0.00944111 
                     1060                  0.010894                  0.010894                  0.010894 
                     1065                 0.0109614                 0.0109614                 0.0109614 
                     1070                 0.0122285                 0.0122285                 0.0122285 
                     1075                 0.0142677                 0.0142677                 0.0142677 
                     1080                 0.0144105                 0.0144105                 0.0144105 
                     1085                 0.0141915                 0.0141915                 0.0141915 
                     1090                 0.0161203                 0.0161203                 0.0161203 
                     1095                 0.0175931                 0.0175931                 0.0175931 
                     1100                 0.0163505                 0.0163505                 0.0163505 
                     1105                 0.0162605                 0.0162605                 0.0162605 
                     1110                 0.0172653                 0.0172653                 0.0172653 
                     1115                  0.016326                  0.016326                  0.016326 
                     1120                 0.0148929                 0.0148929                 0.0148929 
                     1125                 0.0161833                 0.0161833                 0.0161833 
                     1130                 0.0166404                 0.0166404                 0.0166404 
                     1135                 0.0153151                 0.0153151                 0.0153151 
                     1140                 0.0153757                 0.0153757                 0.0153757 
                     1145                 0.0158608                 0.0158608                 0.0158608 
                     1150                 0.0168497                 0.0168497                 0.0168497 
                     1155                 0.0177904                 0.0177904                 0.0177904 
                     1160                 0.0190176                 0.0190176                 0.0190176 
                     1165                 0.0197451                 0.0197451                 0.0197451 
                     1170                 0.0179995                 0.0179995                 0.0179995 
                     1175                 0.0158834                 0.0158834                 0.0158834 
                     1180                 0.0147327                 0.0147327                 0.0147327 
                     1185                  0.011885                  0.011885                  0.011885 
                     1190                 0.0100767                 0.0100767                 0.0100767 
                     1195                 0.0111886                 0.0111886                 0.0111886 
                     1200                 0.0115385                 0.0115385                 0.0115385 
