         Mean_age (years)               Probability                 HPD_68.2%                 HPD_95.4% 
                    -4130               7.0883e-136                         0                         0 
                    -4125              7.05438e-136                         0                         0 
                    -4120              9.87273e-135                         0                         0 
                    -4115              9.82548e-135                         0                         0 
                    -4110              1.37509e-133                         0                         0 
                    -4105              1.36851e-133                         0                         0 
                    -4100              1.91445e-132                         0                         0 
                    -4095              1.90528e-132                         0                         0 
                    -4090              2.66641e-131                         0                         0 
                    -4085              2.65364e-131                         0                         0 
                    -4080              3.71381e-130                         0                         0 
                    -4075              3.69604e-130                         0                         0 
                    -4070              5.17268e-129                         0                         0 
                    -4065              5.14792e-129                         0                         0 
                    -4060              7.20461e-128                         0                         0 
                    -4055              7.17012e-128                         0                         0 
                    -4050              1.00347e-126                         0                         0 
                    -4045              9.98669e-127                         0                         0 
                    -4040              1.39766e-125                         0                         0 
                    -4035              1.39097e-125                         0                         0 
                    -4030              1.94669e-124                         0                         0 
                    -4025              1.93737e-124                         0                         0 
                    -4020              2.71138e-123                         0                         0 
                    -4015               2.6984e-123                         0                         0 
                    -4010              3.77647e-122                         0                         0 
                    -4005              3.75839e-122                         0                         0 
                    -4000              5.25994e-121                         0                         0 
                    -3995              5.23477e-121                         0                         0 
                    -3990              7.32615e-120                         0                         0 
                    -3985              7.29109e-120                         0                         0 
                    -3980               1.0204e-118                         0                         0 
                    -3975              1.01552e-118                         0                         0 
                    -3970              1.42124e-117                         0                         0 
                    -3965              1.41443e-117                         0                         0 
                    -3960              1.97953e-116                         0                         0 
                    -3955              1.97005e-116                         0                         0 
                    -3950              2.75713e-115                         0                         0 
                    -3945              2.74393e-115                         0                         0 
                    -3940              3.84018e-114                         0                         0 
                    -3935               3.8218e-114                         0                         0 
                    -3930              5.34868e-113                         0                         0 
                    -3925              5.32308e-113                         0                         0 
                    -3920              7.44975e-112                         0                         0 
                    -3915              7.41409e-112                         0                         0 
                    -3910              1.03762e-110                         0                         0 
                    -3905              1.03265e-110                         0                         0 
                    -3900              1.44521e-109                         0                         0 
                    -3895               1.4383e-109                         0                         0 
                    -3890              2.01292e-108                         0                         0 
                    -3885              2.00329e-108                         0                         0 
                    -3880              2.80364e-107                         0                         0 
                    -3875              2.79022e-107                         0                         0 
                    -3870              3.90497e-106                         0                         0 
                    -3865              3.88627e-106                         0                         0 
                    -3860              5.43892e-105                         0                         0 
                    -3855              5.41288e-105                         0                         0 
                    -3850              7.57543e-104                         0                         0 
                    -3845              7.53917e-104                         0                         0 
                    -3840              1.05512e-102                         0                         0 
                    -3835              1.05007e-102                         0                         0 
                    -3830              1.46959e-101                         0                         0 
                    -3825              1.46256e-101                         0                         0 
                    -3820              2.04688e-100                         0                         0 
                    -3815              2.03708e-100                         0                         0 
                    -3810               2.85094e-99                         0                         0 
                    -3805               2.83729e-99                         0                         0 
                    -3800               3.97084e-98                         0                         0 
                    -3795               3.95184e-98                         0                         0 
                    -3790               5.53067e-97                         0                         0 
                    -3785                5.5042e-97                         0                         0 
                    -3780               7.70323e-96                         0                         0 
                    -3775               7.66636e-96                         0                         0 
                    -3770               1.07292e-94                         0                         0 
                    -3765               1.06779e-94                         0                         0 
                    -3760               1.49439e-93                         0                         0 
                    -3755               1.48723e-93                         0                         0 
                    -3750               2.08141e-92                         0                         0 
                    -3745               2.07145e-92                         0                         0 
                    -3740               2.89904e-91                         0                         0 
                    -3735               2.88516e-91                         0                         0 
                    -3730               4.03784e-90                         0                         0 
                    -3725               4.01851e-90                         0                         0 
                    -3720               5.62398e-89                         0                         0 
                    -3715               5.59706e-89                         0                         0 
                    -3710               7.83319e-88                         0                         0 
                    -3705                7.7957e-88                         0                         0 
                    -3700               1.09102e-86                         0                         0 
                    -3695                1.0858e-86                         0                         0 
                    -3690                1.5196e-85                         0                         0 
                    -3685               1.51232e-85                         0                         0 
                    -3680               2.11653e-84                         0                         0 
                    -3675                2.1064e-84                         0                         0 
                    -3670               2.94794e-83                         0                         0 
                    -3665               2.93383e-83                         0                         0 
                    -3660               4.10596e-82                         0                         0 
                    -3655                4.0863e-82                         0                         0 
                    -3650               5.71886e-81                         0                         0 
                    -3645               5.69149e-81                         0                         0 
                    -3640               7.96534e-80                         0                         0 
                    -3635               7.92722e-80                         0                         0 
                    -3630               1.10943e-78                         0                         0 
                    -3625               1.10412e-78                         0                         0 
                    -3620               1.54524e-77                         0                         0 
                    -3615               1.53784e-77                         0                         0 
                    -3610               2.15223e-76                         0                         0 
                    -3605               2.14193e-76                         0                         0 
                    -3600               2.99768e-75                         0                         0 
                    -3595               2.98333e-75                         0                         0 
                    -3590               4.17523e-74                         0                         0 
                    -3585               4.15524e-74                         0                         0 
                    -3580               5.81534e-73                         0                         0 
                    -3575                5.7875e-73                         0                         0 
                    -3570               8.09972e-72                         0                         0 
                    -3565               8.06095e-72                         0                         0 
