   Phase_1 early boundary                  LuA-5456                  LuA-5455                  LuA-5454     Phase_1 late boundary    Phase_2 early boundary                  LuA-5453                  LuA-5452                  LuA-5445                  LuA-5451                  LuA-5450                  LuA-5449                  LuA-5448     Phase_2 late boundary 
                    11574                     11489                      9260                      8587                      8203                      7071                      6969                      5772                      5142                      5025                      4955                      4709                      3161                      2990 
                    11572                     11489                      9260                      8581                      8492                      7281                      6969                      5771                      5142                      5021                      4953                      4711                      3160                      3049 
                    11654                     11493                      9262                      8581                      8371                      7118                      6968                      5772                      5145                      5023                      4952                      4710                      3161                      3047 
                    11586                     11495                      9261                      8578                      8229                      7090                      6971                      5774                      5144                      5027                      4949                      4711                      3159                      3053 
                    11673                     11494                      9262                      8580                      8235                      7132                      6972                      5771                      5144                      5029                      4947                      4709                      3160                      3062 
                    11683                     11496                      9262                      8582                      8222                      7235                      6973                      5772                      5146                      5027                      4949                      4711                      3162                      3040 
                    11536                     11498                      9263                      8583                      8477                      7234                      6970                      5772                      5147                      5029                      4946                      4709                      3165                      3031 
                    11655                     11500                      9264                      8582                      8276                      7120                      6971                      5774                      5148                      5029                      4947                      4711                      3165                      3016 
                    11544                     11498                      9263                      8584                      8312                      7090                      6971                      5774                      5146                      5031                      4945                      4709                      3167                      3028 
                    11674                     11500                      9257                      8583                      8419                      7269                      6975                      5775                      5145                      5030                      4944                      4709                      3168                      3077 
                    11626                     11503                      9254                      8585                      8384                      7140                      6976                      5776                      5145                      5032                      4943                      4707                      3171                      3050 
                    11695                     11503                      9252                      8587                      8233                      7322                      6975                      5775                      5142                      5032                      4943                      4706                      3170                      3068 
                    11681                     11502                      9254                      8587                      8364                      7313                      6974                      5772                      5144                      5028                      4944                      4705                      3169                      3063 
                    11677                     11500                      9255                      8585                      8332                      7312                      6974                      5773                      5145                      5029                      4947                      4707                      3170                      3047 
                    11550                     11499                      9255                      8588                      8248                      7229                      6976                      5773                      5147                      5028                      4948                      4707                      3168                      2990 
                    11571                     11500                      9254                      8589                      8242                      7164                      6975                      5773                      5146                      5027                      4947                      4708                      3170                      3042 
                    11628                     11505                      9253                      8592                      8296                      7132                      6975                      5773                      5145                      5027                      4948                      4707                      3172                      3088 
                    11688                     11508                      9254                      8590                      8323                      7214                      6975                      5772                      5145                      5029                      4948                      4708                      3169                      3023 
                    11755                     11509                      9255                      8593                      8446                      7198                      6977                      5772                      5148                      5027                      4949                      4708                      3170                      3039 
                    11643                     11511                      9258                      8595                      8388                      7131                      6978                      5770                      5148                      5026                      4948                      4706                      3169                      3005 
                    11689                     11514                      9256                      8597                      8273                      7244                      6977                      5772                      5150                      5027                      4947                      4703                      3171                      3008 
                    11680                     11515                      9256                      8594                      8202                      7255                      6977                      5772                      5152                      5025                      4947                      4704                      3175                      3000 
                    11698                     11517                      9257                      8596                      8186                      7256                      6974                      5772                      5151                      5026                      4948                      4704                      3177                      3036 
                    11670                     11515                      9256                      8597                      8115                      7202                      6976                      5772                      5152                      5025                      4948                      4704                      3178                      3019 
                    11660                     11511                      9254                      8594                      8358                      7255                      6975                      5772                      5150                      5027                      4951                      4707                      3182                      3036 
                    11726                     11511                      9253                      8595                      8370                      7188                      6977                      5776                      5151                      5023                      4947                      4704                      3179                      3061 
                    11595                     11511                      9254                      8593                      8473                      7401                      6976                      5779                      5150                      5025                      4947                      4705                      3179                      3010 
                    11617                     11509                      9255                      8592                      8322                      7213                      6973                      5779                      5152                      5023                      4947                      4708                      3176                      2992 
                    11656                     11508                      9256                      8592                      8399                      7259                      6970                      5781                      5151                      5025                      4946                      4708                      3173                      3038 
                    11686                     11510                      9257                      8591                      8258                      7144                      6970                      5781                      5150                      5027                      4945                      4705                      3173                      3012 
                    11603                     11511                      9256                      8586                      8210                      7086                      6973                      5780                      5149                      5026                      4948                      4706                      3172                      3017 
                    11662                     11511                      9259                      8587                      8225                      7081                      6976                      5782                      5151                      5025                      4948                      4705                      3174                      3052 
                    11584                     11508                      9260                      8587                      8265                      7176                      6980                      5784                      5149                      5026                      4950                      4706                      3173                      3042 
                    11694                     11509                      9260                      8589                      8086                      7125                      6983                      5783                      5150                      5029                      4950                      4711                      3174                      3082 
                    11571                     11510                      9257                      8590                      8232                      7285                      6986                      5783                      5148                      5033                      4952                      4713                      3172                      3032 
                    11750                     11510                      9259                      8588                      8308                      7388                      6987                      5786                      5146                      5035                      4952                      4712                      3170                      2943 
                    11555                     11510                      9262                      8588                      8244                      7242                      6986                      5787                      5148                      5037                      4954                      4712                      3168                      3109 
                    11711                     11511                      9262                      8586                      8310                      7366                      6981                      5784                      5149                      5038                      4954                      4712                      3169                      3055 
                    11636                     11510                      9258                      8588                      8409                      7221                      6983                      5784                      5146                      5039                      4954                      4713                      3172                      3072 
                    11651                     11513                      9256                      8586                      8419                      7229                      6984                      5784                      5145                      5037                      4953                      4709                      3167                      3016 
                    11722                     11515                      9255                      8586                      8446                      7148                      6986                      5781                      5149                      5038                      4954                      4709                      3168                      3069 
                    11693                     11515                      9258                      8586                      8224                      7247                      6984                      5783                      5149                      5041                      4955                      4708                      3164                      3051 
                    11665                     11515                      9260                      8586                      8387                      7176                      6986                      5783                      5151                      5041                      4956                      4710                      3163                      3051 
                    11661                     11515                      9256                      8586                      8153                      7248                      6986                      5784                      5150                      5043                      4958                      4712                      3162                      3024 
                    11670                     11513                      9255                      8588                      8360                      7198                      6985                      5786                      5149                      5044                      4959                      4711                      3165                      3074 
                    11606                     11511                      9251                      8585                      8005                      7201                      6984                      5786                      5153                      5047                      4959                      4711                      3162                      2992 
                    11659                     11514                      9252                      8585                      8471                      7192                      6983                      5785                      5153                      5046                      4957                      4709                      3160                      2988 
                    11605                     11513                      9250                      8588                      8339                      7224                      6984                      5784                      5152                      5046                      4957                      4712                      3159                      2997 
                    11678                     11512                      9253                      8587                      8367                      7232                      6986                      5785                      5152                      5043                      4960                      4711                      3156                      3035 
                    11605                     11514                      9252                      8591                      8449                      7355                      6986                      5781                      5151                      5040                      4959                      4707                      3153                      3101 
                    11635                     11515                      9254                      8591                      8422                      7426                      6988                      5778                      5149                      5039                      4961                      4705                      3153                      3057 
                    11637                     11516                      9254                      8592                      8204                      7224                      6986                      5779                      5148                      5038                      4960                      4705                      3155                      3055 
                    11728                     11514                      9253                      8590                      8359                      7240                      6991                      5777                      5145                      5035                      4960                      4708                      3151                      3017 
                    11626                     11511                      9254                      8593                      8401                      7228                      6992                      5778                      5140                      5033                      4963                      4709                      3151                      2999 
                    11658                     11513                      9253                      8599                      8257                      7315                      6991                      5778                      5144                      5032                      4962                      4708                      3151                      2966 
                    11613                     11511                      9253                      8603                      8372                      7224                      6993                      5777                      5146                      5035                      4961                      4709                      3148                      2950 
                    11624                     11508                      9250                      8600                      8175                      7154                      6994                      5778                      5146                      5035                      4959                      4707                      3151                      2938 
                    11694                     11510                      9251                      8600                      8385                      7268                      6995                      5780                      5144                      5037                      4957                      4707                      3149                      3056 
                    11565                     11509                      9249                      8603                      8300                      7319                      6995                      5778                      5146                      5036                      4955                      4711                      3146                      2952 
                    11614                     11507                      9249                      8607                      8382                      7179                      6995                      5777                      5149                      5035                      4955                      4710                      3145                      3059 
                    11610                     11505                      9251                      8609                      8458                      7284                      6993                      5774                      5150                      5033                      4955                      4707                      3141                      3072 
                    11711                     11505                      9249                      8607                      8429                      7214                      6993                      5773                      5150                      5031                      4955                      4707                      3141                      3051 
                    11706                     11504                      9250                      8606                      8297                      7088                      6993                      5769                      5151                      5033                      4955                      4709                      3143                      3004 
                    11576                     11502                      9251                      8606                      8355                      7369                      6993                      5766                      5152                      5033                      4952                      4712                      3143                      3009 
                    11619                     11502                      9250                      8604                      8292                      7193                      6993                      5767                      5152                      5033                      4950                      4712                      3146                      3022 
                    11555                     11504                      9250                      8603                      8282                      7232                      6992                      5766                      5151                      5034                      4947                      4708                      3143                      3070 
                    11639                     11504                      9252                      8603                      8265                      7276                      6994                      5767                      5152                      5032                      4949                      4709                      3144                      3015 
                    11560                     11502                      9250                      8605                      8446                      7215                      6993                      5768                      5148                      5031                      4947                      4714                      3142                      3019 
                    11706                     11501                      9249                      8607                      8366                      7420                      6995                      5767                      5149                      5033                      4950                      4716                      3142                      3043 
                    11637                     11501                      9247                      8607                      8295                      7140                      6993                      5766                      5153                      5034                      4948                      4714                      3141                      2992 
                    11561                     11498                      9247                      8606                      8368                      7118                      6995                      5768                      5151                      5034                      4945                      4712                      3140                      3029 
                    11577                     11499                      9252                      8606                      8230                      7175                      6997                      5765                      5152                      5033                      4946                      4711                      3137                      2993 
                    11667                     11499                      9250                      8605                      8309                      7245                      6995                      5765                      5153                      5033                      4948                      4713                      3134                      2963 
                    11651                     11500                      9248                      8607                      8315                      7308                      6994                      5764                      5151                      5031                      4949                      4713                      3133                      3009 
                    11697                     11500                      9249                      8609                      8370                      7155                      6993                      5764                      5151                      5029                      4950                      4714                      3136                      2985 
                    11637                     11499                      9250                      8609                      8509                      7090                      6996                      5764                      5153                      5031                      4950                      4715                      3131                      2972 
                    11688                     11498                      9252                      8612                      8449                      7245                      6994                      5766                      5153                      5029                      4948                      4713                      3133                      3045 
                    11640                     11500                      9258                      8612                      8382                      7179                      6993                      5763                      5157                      5028                      4948                      4713                      3134                      3032 
                    11703                     11501                      9260                      8611                      8243                      7239                      6995                      5761                      5161                      5029                      4946                      4711                      3134                      3074 
                    11607                     11502                      9261                      8613                      8370                      7251                      6995                      5760                      5161                      5031                      4947                      4710                      3135                      2988 
                    11646                     11503                      9262                      8614                      8445                      7254                      6995                      5760                      5162                      5030                      4948                      4712                      3137                      2977 
                    11600                     11502                      9263                      8615                      8343                      7328                      6994                      5759                      5161                      5032                      4948                      4710                      3139                      3005 
                    11600                     11500                      9265                      8616                      8358                      7255                      6995                      5759                      5159                      5035                      4947                      4710                      3139                      2981 
                    11713                     11500                      9269                      8616                      8384                      7226                      6991                      5758                      5161                      5032                      4948                      4714                      3140                      3082 
                    11685                     11499                      9265                      8618                      8341                      7348                      6992                      5757                      5162                      5032                      4947                      4713                      3140                      2997 
                    11606                     11498                      9264                      8616                      8253                      7358                      6993                      5756                      5163                      5031                      4949                      4713                      3139                      3052 
                    11621                     11497                      9263                      8617                      8354                      7336                      6993                      5756                      5165                      5031                      4948                      4713                      3140                      3018 
                    11613                     11495                      9263                      8615                      8482                      7274                      6990                      5753                      5166                      5031                      4948                      4714                      3141                      3046 
                    11611                     11497                      9264                      8614                      8352                      7231                      6989                      5757                      5164                      5029                      4947                      4714                      3144                      3037 
                    11624                     11496                      9263                      8612                      8490                      7255                      6991                      5757                      5164                      5030                      4947                      4714                      3143                      2980 
                    11659                     11493                      9261                      8614                      8435                      7274                      6993                      5758                      5160                      5030                      4948                      4712                      3141                      3065 
                    11679                     11496                      9260                      8615                      8432                      7263                      6993                      5757                      5162                      5031                      4948                      4713                      3142                      3002 
                    11681                     11495                      9261                      8613                      8316                      7272                      6991                      5757                      5162                      5029                      4947                      4715                      3140                      3073 
                    11680                     11496                      9262                      8614                      8363                      7337                      6992                      5756                      5166                      5027                      4946                      4719                      3140                      3029 
                    11603                     11500                      9261                      8616                      8388                      7067                      6992                      5753                      5165                      5029                      4945                      4717                      3138                      3047 
                    11652                     11499                      9262                      8615                      8185                      7104                      6995                      5751                      5167                      5029                      4950                      4719                      3140                      3017 
                    11599                     11498                      9261                      8615                      8343                      7189                      6994                      5749                      5168                      5029                      4951                      4722                      3138                      2964 
                    11583                     11494                      9264                      8615                      8447                      7292                      6993                      5748                      5165                      5033                      4950                      4721                      3134                      2980 
                    11687                     11496                      9267                      8618                      8423                      7274                      6990                      5749                      5165                      5035                      4952                      4725                      3132                      3056 
                    11611                     11496                      9265                      8619                      8250                      7169                      6988                      5749                      5166                      5035                      4953                      4724                      3133                      3008 
                    11628                     11498                      9265                      8620                      8273                      7143                      6991                      5748                      5166                      5030                      4954                      4724                      3133                      2988 
                    11732                     11503                      9265                      8619                      8142                      7154                      6991                      5744                      5166                      5031                      4958                      4725                      3133                      3034 
                    11588                     11500                      9263                      8618                      8331                      7259                      6991                      5744                      5164                      5032                      4959                      4727                      3132                      3049 
                    11700                     11502                      9266                      8617                      8497                      7202                      6991                      5743                      5164                      5034                      4963                      4724                      3132                      3006 
                    11639                     11506                      9263                      8613                      8387                      7297                      6989                      5741                      5165                      5035                      4962                      4727                      3133                      2994 
                    11719                     11507                      9264                      8617                      8167                      7247                      6984                      5739                      5164                      5035                      4962                      4725                      3130                      3008 
                    11588                     11508                      9264                      8615                      8323                      7111                      6985                      5739                      5163                      5037                      4963                      4725                      3131                      3023 
                    11723                     11508                      9267                      8618                      8373                      7223                      6984                      5740                      5162                      5038                      4962                      4726                      3130                      3014 
                    11708                     11509                      9266                      8616                      8328                      7214                      6984                      5737                      5161                      5042                      4963                      4723                      3128                      3009 
                    11650                     11510                      9268                      8614                      8119                      7165                      6984                      5735                      5159                      5041                      4966                      4723                      3129                      2963 
                    11708                     11507                      9265                      8613                      8239                      7246                      6981                      5737                      5156                      5043                      4964                      4725                      3130                      2992 
                    11645                     11508                      9264                      8613                      8221                      7187                      6979                      5738                      5155                      5042                      4966                      4723                      3130                      3050 
                    11684                     11508                      9265                      8612                      8340                      7210                      6981                      5743                      5156                      5042                      4966                      4719                      3130                      3011 
                    11668                     11508                      9265                      8614                      8273                      7224                      6980                      5742                      5153                      5042                      4969                      4718                      3132                      2988 
                    11547                     11510                      9265                      8615                      8172                      7204                      6980                      5743                      5153                      5041                      4970                      4720                      3132                      2993 
                    11662                     11512                      9265                      8613                      8388                      7188                      6977                      5743                      5154                      5040                      4968                      4719                      3131                      3054 
                    11606                     11511                      9267                      8610                      8488                      7187                      6977                      5739                      5153                      5037                      4968                      4720                      3129                      2998 
                    11621                     11513                      9268                      8613                      8436                      7210                      6975                      5737                      5154                      5034                      4966                      4719                      3128                      2962 
                    11597                     11511                      9267                      8609                      8268                      7418                      6974                      5738                      5154                      5033                      4965                      4721                      3129                      2958 
                    11651                     11509                      9268                      8606                      8399                      7252                      6975                      5737                      5158                      5031                      4966                      4719                      3130                      3090 
                    11718                     11510                      9266                      8606                      8190                      7187                      6976                      5738                      5158                      5031                      4964                      4720                      3129                      3025 
                    11700                     11512                      9267                      8606                      8424                      7273                      6975                      5736                      5159                      5033                      4962                      4718                      3131                      2982 
                    11667                     11510                      9268                      8606                      8354                      7030                      6974                      5735                      5158                      5034                      4960                      4717                      3133                      2988 
